German,Occidental
"unbestimmt, irgend",al-
"stillen, säugen",alactar
Alarm,alarm
Wecker,alarm-horloge
alarmieren,alarmar
Lerche,alaude
albanisch,albanes
Albanien,Albania
Albatros,albatroz
beherbergen,albergar
"Herberge, Wirtshaus",albergo
Jugendherberge,albergo de yunesse
Album,album
Eiweiß,albumine
Alkali,alcali
Alchemie,alchimie
Elch,alco
Alkohol,alcohol
irgendwo,alcú
irgendein,alcun
Flügel,ale
"sich berufen, anführen",alegar
"munter, lustig",alegri
Ahle,alen
"wachsam, munter, aufgeweckt",alert
erleichtern,aleviar
Erleichterung,aleviament
Alphabet,alfabete
Alge,alga
Algebra,algebra
Algerien,Algeria
algerisch,algerian
Knoblauch,alie
"veräußern, verrückt machen",alienar
wahnsinnig,alienat
Nahrungsmittel,aliment
Unterhalt,aliment-moné
sich anstellen,alinear se
Allee,allé
"Bündnis, Allianz",alliantie
verbünden,alliar
Absatz (Schrift),alinea
Allegorie,allegorie
Alligator,alligator
"Kalender, Almanach",almanac
Almosen,almosne
Erle,alne
Ansprache,alocution
entlang,along
"dann, damals",alor
Alm,alpe
(die) Alpen,(li) Alpes
alpin,alpin
Bergsteiger,alpinist
irgendwelcher,alqual
irgendwie,alquam
jemals,alquande
"ziemlich, etwas",alquant
irgendwelcher,alquel
"jemanden, jemandem",alquem
jemand,alquí
etwas,alquicos
etwas,alquó
Elsass,Alsatia
hoch,alt
laut,con alt voce
Altar,altare
abwechseln,alternar
alternativ,alternativ
Alternative,alternative
Hoheit,altesse
Alt (Stimme),alto
Höhe,altore
anderer,altri
etwas anderes,altricos
"sonst, anders",altrimen
anspielen auf,aluder
Feuerzeug,aluminator
Aluminium,aluminium
Alaun,alun
Anspielung,alusion
liebenswürdig,amabil
Liebenswürdigkeit,amabilitá
zähmen,amansar
zahm,amansat
Zähmung,amansation
"lieben, mögen",amar
bitter,amari
Bitterkeit,amaritá
"anhäufen, ansammeln",amassar
"Menge, Masse",amasse
"Amateur, Liebhaber",amator
Amazone,amazona
Botschaft,ambassade
Botschafter,ambassador
beide,ambi
Ehrgeiz,ambicie
ehrgeizig,ambiciosi
doppelsinnig,ambigui
"Doppelsinn, Ambiguität",ambiguitá
schlendern,amblar
Bernstein,ambre
Krankenwagen,ambulantie
verbessern,ameliorar
Verbesserung,amelioration
jemanden an etwas erinnern,amemorar
Amerika,America
amerikanisch,american
amphibisch,amfibic
Amphibie,amfibie
Freundin,amíca
freundschaftlich,amical
Freundschaft,amicitá
Freund,amíco
Stärke (Kraftmehl),amidon
begnadigen,amnestiar
"Amnestie, Begnadigung",amnestie
Ammoniak,amoniac
Liebesaffäre,amor-afere
Liebe,amore
tilgen,amortisar
"weit, geräumig",ampli
"Weite, Geräumigkeit",amplore
amputieren,amputar
Amulett,amulete
Vergnügen,amusament
amüsant,amusant
sich vergnügen,amusar
Anachronismus,anacronisme
Analphabet,analfabete
analysieren,analisar
Analyse,analise
analog,analog
Analogie,analogie
Ananas,ananás
anarchistisch,anarchic
Anarchie,anarchie
Ente,anate
Anatomie,anatomie
Anatolien,Anatolia
anatolisch,anatolian
auch,anc
Anschovis,anchove
"alt (seit langer Zeit bestehend), ehemalig",ancian
noch,ancor
Anker,ancre
den Anker lichten,levar ancre
Andalusien,Andalusia
andalusisch,andalusian
(die) Anden,(li) Andes
Andorra,Andorra
andoranisch,andorran
Anekdote,anecdote
Ohrring,anelle orelari
Ring,anelle
Anemone,anemone
Anhang,anexe
annektieren,anexer
Annektion,anexion
Engel,ángel
engelhaft,ángelic
"Englisch, englisch",anglesi
England,Anglia
angelsächsisch,anglosaxonic
Angola,Angola
angolanisch,angoles
Aal,anguille
"Ecke, Winkel",angul
"eckig, verwinkelt",angulari
(die) Antillen,(li) Antilles
quälende Angst haben,agustiar
"(quälende) Angst, Bange, Qual",angustie
keuchen,anhelar
vernichten,anihilar
"Vernichtung, Auslöschen",anihilation
Seele,anim
"tierisch, animalisch",animalic
Tier,animale
"beleben, anregen",animar
Belebung,animation
Annalen,annales
"Geburtstag, Geburtstag",anniversarie
anonym,anonim
Anonymität,anonimitá
Jahr,annu
Schaltjahr,annu bissextil
jährlich,annual
anonym,anonim
"anormal, abnorm",anormal
Henkel,anse
Antarktis,Antarctica
vor allem,ante omnicos
vor (zeitlich),ante
Vorzimmer,ante-chambre
Vormittag,ante-midí
Vorgänger,antecessor
Antenne,antenne
bevor,anteque
vorhergehend,anteriori
vorher,antey
vorgestern,anteyer
gegen-,anti-
"Antisemit, Judenhasser",anti-semite
antialkoholisch,antialcoholic
"vorwegnehmen, vorgreifen",anticipar
Vorwegnahme,anticipation
Antillen,Antilles
Antilope,antilop
unsympathisch,antipatic
"Abneigung, Antipathie",antipatie
antiquarisch,antiquaric
Betreiber eines Antiquariats,antiquario
"antik, altertümlich",antiqui
"Antike, Altertum",antiquitá
Antiquar,antiquario
"annullieren, stornieren, absagen",anullar
"anzeigen, anmelden einchecken",anunciar
"Anus, After",ánus
"ängstigen, aufregen",anxiar
"Angst, Aufregung",anxietá
Apparat,aparate
"Erscheinen, Auftauchen",aparation
"Aussehen, Anschein",aparentie
"scheinen, den Anschein haben",aparer
"erscheinen, auftauchen",aparir
"besonders, abgetrennt",apart
Wohnung,apartament
gehören zu,apartener a
Zugehörigkeit,apartenentie
"apathisch, teilnahmslos",apátic
Biene,ape
Bienenkönigin,ape-reyessa
"verschlechtern, verschlimmern",apejorar
"Aufruf, Appell, Berufung",apell
"aufrufen, appellieren",apellar
kaum,apen
(die) Apenninen,(li) Apennines
wahrnehmen,apercepter
"offen, geöffnet",apert
öffnen,aperter
Öffnung,apertura
Appetit,apetite
Imkerei,apicultura
"Bienenstock, Bienenkorb",apiere
"zertreten, platt drücken",aplaster
"Beifall spenden, applaudieren",aplauder
"Beifall, Applaus",aplause
anwenden,aplicar
Anwendung,aplication
"Dreistigkeit, Gleichgewicht Festigkeit im Auftreten",aplombe
vom Glauben abfallen,apopastiar
Abfall vom Glauben,apopastie
"bringen, holen",aportar
mitbringen,aportar con se
"anfügen, hinzusetzen",aposir
Apostroph,apostrof
"Stütze, Unterstützung",apoy
"stützen, unterstützen",apoyar
Apotheke,apoteca
"schätzen, anerkennen, bewerten",apreciar
lernen,aprender
erlernbar,aprensibil
Lernen,aprension
Lernender,aprensor
Lehre (Handwerk),aprentisage
Lehrling,aprentiso
"zurichten, herrichten",apretar
April,april
"gutheißen, billigen",aprobar
billigend,aprobativ
vertiefen,aprofundar
"übrigens, apropos",a propó
sich aneignen,apropriar se
geeignet,apt
Eignung,aptitá
"neben, bei",apu
zielen,apuntar
Mineralwasser,aqua mineral
Wasser,aqua
Aquarell,aquarelle
Aquarium,aquarium
Schnaps,aquavite
Adler,áquil
"erwerben, ankaufen",aquisiter
"Erwerb, Ankauf",aquisition
Arabien,Arabia
arabisch,arabic
Spinne,arané
Veranstaltung,arangeament
"anordnen, einrichten",arangear
"ackern, pflügen",arar
Armbrust,arbalest
Armbrustschütze,arbalestero
Schlichtung,arbitrage
schlichten,arbitrar
willkürlich,arbitrari
Willkür,arbritrarie
Schiedsrichter,arbitro
Baum,árbor
Strauch,arbuste
Bogen,arc
"Büchse, Feuerrohr",arcabuse
Büchsenmacher,arcabusero
Bogenschütze,arcero
Archäologie,archeologie
Archäologe,archelogo
Erz-,archi-
Archipel,archipelago
Architekt,architecte
Architektur,architectura
Archiv,archive
Arktis,Arctica
"glühend, brennend",ardent
"glühen, in Flammen aufgehen",arder
Schiefer,ardese
Glut,ardore
Fläche,area
Parkplatz,area de stationament
"Arena, Stadion",arena
verhaften,arestar
Verhaftung,arestation
Silber,argente
silbern,argentin
Argentinien,Argentina
"Lehm, Ton",argil
"tönern, aus Lehm",argilosi
"schließen, folgern, schlussfolgern",arguer
Argument,argument
argumentieren,argumentar
"trocken, dürr",arid
"Dürre, Trockenheit",ariditá
Ankunft,ariva
ankommen,arivar
Harlekin,arlequin
Bewaffnung,armament
bewaffnet,armat
Reeder,armator
Armee,armé
Waffe,arme
bewaffnen,armear
Armenien,Armenia
armenisch,armenian
Waffenstillstand,armistricie
Meerrettich,armoracia
arrogant,arogant
Arroganz,arogantie
sich anmaßen,arogar
"Aroma, Geschmack",aroma
würzig,aromatic
abrunden,arondar
begießen,arosear
Arsenal,arsenale
Kunst,arte
Artischocke,artichoc
Artikel,articul
artikulieren,articular
Artikulation,articulation
künstlich,artificial
Kunstgriff,artificie
Artillerie,artillerie
Handwerker,artisan
Handwerk,artisanatu
Handwerker,artise
Künstler,artist
"ersteigen, hinaufgehen",ascender
einsteigen,ascender in
"Aufstieg, Himmelfahrt",ascension
ersticken,asfixiar
Erstickung,asfixie
Asien,Asia
Kleinasien,Asia Minori
asiatisch,asiatic
Asyl,asil
Waisenhaus,asil por orfanes
Esel,ásino
Spargel,asparge
"Aussehen, Anblick, Gesichtspunkt",aspecte
aussehen,aspecter
"begießen, besprengen",asperser
"einatmen, einsaugen, streben",aspirar
sich bewerben,aspirar a
rau,aspri
Rauigkeit,apritá
"gießen, besprenkeln",asperser
Ass,ass
Rammbock,assalt-ramme
"überfallen, angreifen",assaltar
"Anfall, Überfall",assalte
ermorden,assassinar
Ermordung,assassination
Attentäter,assassinator
versichern,assecurar
Versicherung,assecurantie
belagern,assediar
Belagerung,assediation
versammeln,assemblar
Versammlung,assemblé
Zustimmung,assentiment
zustimmen (zu),assentir (a)
behaupten,asserter
Behauptung,assertion
"emsig, beharrlich, anhaltend",assidui
"Emsigkeit, Beharrlichkeit",assiduitá
zuweisen (Rang),assignar
"angleichen, assimilieren",assimilar
"Angleichung, Assimilierung",assimilation
Assyrien,Assiria
assyrisch,assirian
"Schwurgericht, Versammlung von Gelehrten",assises
"Assistent, Helfer",assistente
"Beistand, Hilfe",assistentie
"beistehen, behilflich sein",assister
"sortieren, sichten",assortir
Sternchen (*),asterisco
Asthma,astma
asthmatisch,astmatic
Asthmatiker,astmatico
"verwundern, wundern",astonar
Habicht,astor
Gestirn,astre
straff,astrict
Astronomie,astronomie
"schlau, listig",astut
"List, Trick",astutie
Angriff,atacca
angreifen,ataccar
"befestigen, festmachen, anknüpfen",atachar
Atheismus,ateisme
anspannen,atelar
"Werkstatt, Atelier",ateliere
warten,atender
sich an etwas vergreifen,atentar
Attentat,atentate
aufpassen,atenter
"Aufmerksamkeit, Achtung",atention
aufmerksam,atentiv
Atheist,ateo
landen,aterrar
Zeugnis,atest
bescheinigen,atestar
"Zeugnis, Bescheinigung",atestation
erreichen,atinger
Haltung,atitude
Atlantik,Atlantic Ocean
Atlas,atlas
Athletik,atletisme
Atmosphäre,atmosfere
Atom,atom
Atombombe,atom-bombe
anziehen (fesseln),atraer
"Attraktion, Anziehung",atration
attraktiv,atrativ
"zuschreiben, beimessen",atribuer
"Zuschreibung, Beifügung, Attribut",atribution
"zuschreibend, attributiv",atributiv
"grausam, grässlich",atroci
"Grausamkeit, Gräueltat",atrocitá
sich zu einer Gruppe vereinigen,atrupper se
"Versteigerung, Auktion",auction
versteigern,auctionar
"kühn, wagemutig",audaci
wagen,audaciar
Gehör,audie
hören,audir
Hörer,auditor
Zuhörerschaft,auditorie
"steigern, steigen",augmentar
"Steigerung, Erhöhung",augmentation
August,august
vorhersagen,augurar
Vorhersage,augure
Gold,aure
golden,aurin
Tand,auripelle
Morgendämmerung,aurora
abhören (medizinisch),auscultar
"streng, ernst, schmucklos",austeri
Australien,Australia
Österreich,Austria
autenthisch,autentic
"Authentizität, Echtheit",autencitá
Auto(mobil),auto(mobile)
Bus,autobus
Autobahn,auto-strada
"Autokrat, Alleinherrscher",autocrate
"Autor, Schriftsteller, Urheber",autor
"Autorin, Schriftstellerin, Urheberin",autoressa
autorisieren,autorisar
"Macht, Behörde",autoritá
"mächtig, autoritär",autoritativ
Herbst,autun
herbstlich,autunal
helfen,auxiliar
Hilfs-,auxiliari
Hilfe,auxilie
Oma,ava
Lawine,avalanche
vor (örtlich),avan
vorne,in avan
"vorgehen (Uhr), vorrücken",avansar
"Vorrücken, Vorschuss, Beförderung",avanse
Vorteil,avantage
Schürze,avantale
geizig,avari
Geiz,avaritá
Haselnuss,avelane
Hafer,aven
Abenteuer,aventura
Abenteurer,aventurero
abenteuerlich,aventurosi
Vorderseite (Münze. Stoff),averse
"abgeneigt, Widerwille erregend",aversi
"Abneigung, Widerwille",aversion
Geflügel,aviallia
fliegen,aviar
Flug (mit Maschine),aviation
Flieger,aviator
gierig,avid
Gier,aviditá
Vogel,avie
Zugvogel,avie passatori
Vogelkäfig,aviere
aufwachen,avigilar se
Wecker,avigilator
Flugzeug,avion
"Ankündigung, Benachrichtigung",avise
Opa,avo
"Anwalt, Rechtsanwalt",avocate
Achse,axe
Achselhöhle,axille
Azoren,Azores
himmelblau,azur
schwatzhaft,babillaci
Geschwätz,babillada
schwatzen,babillar
Reifeprüfung,baccalaureatu
Bazille,bacille
Bakterien,bacteries
Gepäck,bagage
"Bagatelle, Kleinigkeit",bagatelle
bagatellisieren,bagatellisar
"Bakschisch, Bestechungsgeld",bakchich
"abwiegen, wiegen",balanciar
Waage,balancie
"schaukeln, balanzieren",balansar
"Schaukel, Kontoabschluss",balanse
Schaukel,balansuore
Kehricht,balayage
"fegen, kehren",balayar
Besen,balaye
"stammeln, stottern, lallen",balbutiar
Balkon,balcon
Baldachin,baldachine
"Wal, Walfisch",balen
Ball (Fest- und Tanzveranstaltung),ball
Ballade,ballade
Ballast,ballast
Ball (Sportgerät),balle
Ballett,ballett(e)
Ballon,ballon
Bad,balne
Badezimmer,balne-chambre
Badewanne,balne-cuve
baden,balnear
Bade-,balneari
"Badeanstalt, Schwimmbad",balnería
Badewanne,balnuore
"hin und her schütteln, Stichwahl vornehmen",balotar
"Stimmabgabe, Stichwahl",balation
Balsam,balsam
balsamisch,balsamic
"Geländer, Balustrade",balustrade
Geländer,balustre
Bambus,bambú
banal,banal
Banalität,banalitá
Banane,banane
Sitzbank,banca
bankrott,bancrott
Bankrott,bancrotte
"Binde, Band",band
"Bandage, Verband",bandage
"binden, bandagieren",bandagear
"Kreuzband, Banner, Wimpel",banderol
Bandit,bandite
Banner,baniere
Banjo,banjó
Bank (Geldinstitut),bank
"Banknote, Geldschein",bank-billett
Bankier,bankero
Bankmanager,bank-managero
"Banknote, Geldschein",bank-note
Bann,bann
"Bann, Verbannung",banniment
"bannen, verbannen",bannir
Bankett,banquett(e)
einen Bankett abhalten,banquettar
Taufe,baptisa
taufen,baptisar
Taufe,baptisme
Bar,bar
Barbar,barbar
Baracke,baracca
Bart,barbe
Barbier,barbero
patschen (im Schlamm),barbotar
bärtig,barbut
"Boot, Barke",barca
Barde,bardo
Barett,barett
"Fass, Tonne",baril
Bariton,bariton
Barium,barium
Barock,baroc
Barometer,barometre
Baron,baron
Baronesse,baronessa
"absperren, sperren, behindern",barrar
"Riegel, Stange, Barren",barre
Barrikade,barricade
"basieren, sich gründen",basar
Basalt,basalte
"Basis, Grundlage",base
Basilika,basilica
Basilisk,basilisc
niedrig,bass
herunter,a bass
leise,con bass voce
Bass,basse
Dackel,bassete
Becken,bassine
Bassist,bassist
Fabott,basson
Bratsche,bassviolin
Bast,bast
genug!,basta!
Streik,bastament
streiken,bastamentar
Bastard,bastarde
Zwingburg,bastille
"Bollwerk, Bastion",bastion
"Stock, Knüppel",baston
knüppeln,bastonar
"Schlagholz (Sport), Schläger",bat
Froschlurch,batracian
eine Schlacht führen,battalliar
Schlacht,battallie
Bataillon,battallion
Klöppel,battente
schlagen,batter
Batterie,batterie
Bayern,Bavaria
geifern,bavar
Geifer,bave
"Latz, Lätzchen",bavette
Bucht,bay
Bajonett,bayonette
Bazar,bazar
selig,beat
Seligkeit,beatitá
Baby,bebé
Schnabel,bec
Schnepfe,becasse
Beet,bed
Beduinenfrau,beduina
Beduine,beduino
Begonie,begonie
Schwieger-,bel-
Schwager,bel-fratre
Schwiegermutter,bel-matre
Schwiegervater,bel-patre
Schwager,bel-soror
"Blöken, Meckern",belada
"blöken, meckern",belar
Belgien,Belgia
schön,bell
Schönheit (schöne Frau),bella
Tollkirsche,belladonna
Schönheit,bellitá
Wohl,bene
segnen,benedir
Segen,benedition
Wohltäter,benefator
"Wohltat, Gewinn",beneficie
"Wohlstand, Wohlsein",benessere
willkommen,benevenit
"gütig, freundlich, milde",benigni
"obwohl, obschon, wenngleich",benque
bald,bentost
Benzin,benzine
Tankstelle,benzine-station
Beere,bere
Kuss,besa
küssen,besar
"Mangel, Not, Bedürfnis, Bedarf",beson
brauchen,besonar
bestialisch,bestial
"wildes Tier, Bestie",bestie
Raubtier,bestie predatori
Bestialität,bestialitá
Zuckerrübe,bete
Runkelrübe,bet-rap
Birke,betul
klaffen,beyar
"doppelt, bi-",bi-
Biatlon,biatlon
Bibel,bible
biblisch,biblic
Bibliographie,bibliografie
Bibliothek,biblioteca
Bizeps,biceps
Fahrrad,bicicle
Abfalleimer,bidon de sordidage
"Lenkstange, Kurbelstange",bielle
Steak,bifstec
abzweigen,bifurcar
Weiche (Eisenbahn),bifurcation
Bigamie,bigamie
Bigamist,bigamist
"frömmelnd, bigott",bigott
"Bigotterie, übertriebene Frömmigkeit",bigotteríe
Bikini,bikini
bilanzieren,bilanciar
Bilanz,bilancie
Galle,bilie
zweisprachig,bilingui
"Eintrittskarte, Fahrkarte",billet(e)
Fahrkartenschalter,billetería
Billard,billiard
Billardball,billiard-bull
Billiarde,billiarde
Billion,billion
"Feldstecher, Fernglas",binocul
Biologie,biologie
Biographie,biografie
Bier,bir
"Bierbar, Bierlokal",birería
Keks,biscuit
"halbieren, in zwei Teile schneiden",bisecter
Zweiteilung,bisection
"Schrägfläche, schiefe Kante",bisel
bisexuell,bisexual
Bisexualität,bisexualitá
Bison,bison
Erdpech,bitúmine
"Biwak, Feldlager",bivac
biwakieren,bivacar
"seltsam, wunderlich, bizarr",bizarri
Merkwürdigkeit,bizarreríe
"aufschneiden, Possen spielen",blagar
Tadel,blama
blamabel,blamabil
Blamage,blamage
"schelten, schimpfen, tadeln",blamar
weiß,blanc
bleichen,blancar
"Hagedorn, Weißdorn",blancospine
abstumpfen,blasar
"lästern, Gottes lästern",blasfemar
Gotteslästern,blasfemation
Gotteslästerer,blasfemator
gotteslästerlich,blasfematori
"Wappen, Wappenschild",blason
Schabe,blatte
Panzerung,blindage
panzern,blindar
"Block, Klotz",bloc
Blockade,blocada
blockieren,blocar
blond,blond
blau,blu
Bluse,bluse
Bobfahren,bob-slitte
Spule,bobine
Pokal,bocale
Mund,bocca
einen Mund voll,boccade
mündlich,boccal
zum Kochen bringen,bollientar
Boiler,bolliere
"kochen, sieden",bollir
Bolzen,bolt
bombastisch,bombastic
"Bomber, Bombenflugzeug",bombavion
Bombe,bombe
gut,bon
guten Appetit,bon apetite
guten Tag,bon die
guten Morgen,bon matine
gute Nacht,bon nocte
guten Abend,bon vésper
gute Reise,bon viage
Gönner,bondesirante
sehr gut,bonissim
Kindermädchen,bonna
Gut,bontá
Bonuszahlung,bonus-payament
willkommen,bonvenit
"Rand, Ufer, Bord (Schiff)",bord
an Bord,a bord
"angrenzen, entlanggehen",bordar
Bordell,bordell(e)
Spießbürger,borgesacho
Bürger (Stand),borgese
"Flecken, Städtchen",borgo
Bürgermeisterin,borgomastra
Bürgermeister,borgomastro
begrenzen (sich auf),bornar
sich beschränken,bornar se
Terminal,borne
"Geldbörse, Geldbeutel",borse
Gebüsch,boscage
"Gestrüpp, Unterholz",boscallia
Busch,bosco
"Flickerei, Pfusch",bosillage
pfuschen,bosillar
Pfusch,bosillatura
Bosnien-Herzegowina,Bosnia e Hercegovina
"wölben, krümmen",bossar
"gewölbt, gekrümmt",bossat
Buckel,bosse
Boot,bote
Stiefel,botte
Flasche,botell(e)
Ochse,bove
Kalb,bovello
Rind-,bovin
Rindfleisch,bovine
Stier,bovo
boxen,boxar
Boxen,boxe
Boxer,boxero
"Junge, Knabe",boy
Boje,boye
Ausschussware,brac-merce
Wilderei,braconage
wildern,braconar
Wilderer,braconero
Brombeere,brambere
Kleie,bran
"Geäst, Astwerk",branchage
"Ast, Zweig, Fach",branche
kleiner Zweig,branchette
Kieme,branchie
schwenken,brandisser
Brandfackel,brandon
"Branntwein, Brandy",brandy
Glut,brase
Brasilien,Brasilia
Arm,brasse
Armband,brasselett
"brav, tapfer",brav
"tapfer sein, mutig sein",bravar
Tapferkeit,bravitá
"Tapferkeit, Kühnheit",bravore
Bresche,breche
"bretonisch, Bretonisch",breton
Patent,brevete
kurz,brevi
Kürze,brevitá
"(auf)zäumen, zügeln",bridar
Zaumzeug; Zügel,bride
Brigade,brigade
Brigadier,brigadero
Wegelagerer,brigante
glänzend,brilliant
"scheinen, glänzen",brilliar
Ziegelstein,brique
Brise,brise
broschieren,brochar
Brosche,broche
Broschüre,brochura
sticken,brodar
Stickerei,broderíe
brodeln,brodular
bronchial,bronchial
Bronchie,bronchie
Bronze,bronze
bürsten,brossar
Bürste,brosse
Augenbraue,brove
Geräusch,brue
Lärm,bruida
"laut, lärmend",bruiosi
lärmen,bruir
brennen,brular
Verbrennung,brulatura
braun,brun
bräunen,brunar
Brünette,brunetta
brünett,brunetti
"barsch, brüsk",brusqui
brutal,brutal
brutalisieren,brutalisar
Brutalität,brutalitá
Vieh,brute
Bock,buc
schlachten,buchar
Metzger,buchero
"Fleischerei, Metzgerei",buchería
"wellen, Locken machen",buclar
Locke,bucle
buddhistisch,buddhistic
Imbiss,bufete
