English,Gothic
"alienated, to be",framaþjan (I weak i) + gen (being alienated from the life of God = framaþjai libainais gudis)
alike,samaleiks (adj. A)
alive (adj.),qius (adj. A)
alm (n.),armaio (f. N)
almighty (n.),allwaldands (m. Nd)
all (adj.),"alls (adj. A strong), not at ~ = ni allis"
allegoric,aljaleikoþs (part-perf)
allegorical,aljaleikoþs (part-perf)
alone (adj.),ains (adj. strong)
along,and + acc
"allow, to (v.)",andletan (red. abl.)
alphabet (n.),"1. *bokatewa (f. O) 2. *azgabairka (f. O) (lit. Ash-birch, the first two letters of the Gothic alphabet, but bokatewa should be used for other alphabets)"
alphabetical (adj.),*bokateweis (adj. Ja)
always,sinteino
already,ju
altar (n.),hunslastaþs (m. I)
although,"1. iþ (holding to a form of godliness, although they have denied its power = habandans hiwi gagudeins, iþ maht izos inwidandans) 2. aþþan jabai (So although I wrote to you = aþþan jabai melida)"
altruism (n.),*broþrulubo (f. N)
altruist (n.),1. *broþrulubja (m. N) 2. *broþrulubjo (f. N)
"amazed, to be",afslauþnan (IV)
amazement (n.),"usfilmei (f. N), ~n dissitan = to be amazed"
amber (n.),1. *glas (n. A) 2. *gles (n. A)
amber route (n.),1. *glasawigs (m. A) 2. *glesawigs (m. A)
amen,amen
American (adj.),*Amairikisks (adj. A)
American (n.),*Amairikus (m. U/I)
anarchism (n.),*anarxismus (m. U)
anarchist (n.),*anarxistus (m. U)
anarchistic,*anarxists (adj. A)
answer (n.),andahafts (f. I)
and,1. jah 2. -uh (Can only be used after verbs and names)
angel (n.),aggilus (m. U/I)
anger (n.),moþs (m. A)
angle (n.),*skina (f. O)
angry,"~ on = modags (adj. A) + dat, to be ~ on = hatizon (II weak) + dat"
anguish (n.),aggwiþa (f. O)
ankle (n.),1. *ank(u)lo (f. N)
"anoint, to (v.)",gasmeitan (abl I)
anointer (n.),*gasmeitands (m. Nd)/*gasmeitandi (f. Jo)
anonymous (adj.),*unnamniþs (past. part. as adj.)
another (adj.),anþar (adj. A) (Only declined strongly)
answer (n.),1. andahafts (f. I) 2. andawaurdi (n. Ja)
"answer, to",1. andhafjan (VI) + dat
ant (n.),*miurjo (f. N)
Antiochia (n.),"Antiaukia (f. Noun, declined as O)"
anthropological,+mannaleis (adj. A)
anthropologist (n.),1. +mannaleis (m. A) (declined like an adjective) 2. +mannaleisa (f. O) (declined like an adjective)
anthropology (n.),+mannaleisei (f. N)
any,1. ~ man = mannahun (first part declined as manna)
anyone,hwas (declined like sa)
anybody,hwas (declined like sa)
anything,hwa (declined like þata)
anymore,not ~ = ni þanaseiþs
ape (n.),*apa (m. N)
apostle (n.),apaustaulus (m. U/I)
apostleship (n.),apaustaulei (f. I)
apparel (n.),gafeteins (f. I/O)
appearing (n.),gabairhteins (f. I/O)
appetizer (n.),*tappa (f. O)
"appoint, to (v.)",raidjan (I weak i)
appointer,*garaidja (m. N)/*garaidjo (f. N)
"approach, to",anaqiman (IV)
Arabia,Arabia (f. Undeclined)
archaeologist,*arkaiaulaugist (m. A)
archangel,arkaggilus (m. U/I)
arena (n.),"*krings (m. A) (Orel gives Gepidic *krings ‘arena’ <Proto-Germanic *krengaz, was most likely also used in Gothic like this)"
arkenstone,*airknastains (m. A)
armour,sarwa (n. Wa)
army (n.),"harjis (m. Ja), highest division of Visigothic ~ in Hispania = *þiufa (f. O)"
aroma (n.),*aroma (pl. *aromata) (n. A) (W.E.)
arranged (adj.),garaiþs (adj. A)
arranger (n.),*garaidja (m. N)/*garaidjo (f. N)
arrival (n.),*atfareins (f. I/O)
"arrive, to (v.)",atfarjan (I j weak) (arrive in a land)
arrow (n.),arhwazna (f. O)
art (n.),"skaun (r. Ja) waurstw (n. A), skaun waurstw"
artificial (adj.),1. *handuwaurhts (past perf.) 2. *mannawaurhts (past perf.)
artemisia (n.),*artaimisja (f. O)
ash (n.),azgo (f. N)
ashamed (adj.),1. to be ~ = gaaiwiskon (II weak) 2. skaman (III weak) + gen
Asia (n.),Asia (f. O)
"ask, to (v.)",fraihnan (V abl)
asker (n.),*fraihnands (m. Nd)/*fraihnandi (f. Jo)
asleep,to fall ~ = anaslepan (IV red) (3rd past tense = anasaizlep)
asp (n.),1. *asps (f. I) 2. *aspo (f. N)
aspersion (n.),ufarranneins (f. I/O)
ass (n.),assilus (m. U) (synonyme of donkey)
assembly (n.),gaqumþs (f. I)
assumption (n.),anaminds (f. I)
"astonished, to be",usgeisnan (IV weak)
astrobiological,*stairnalibainileis (adj. A)
astrobiologist (n.),1. *stairnalibainileis (m. A) (declined like an adjective) 2. *stairnalibainileisa (f. O) (declined like an adjective)
astrobiology,*stairnalibainileisei (f. N)
astrological (adj.),*stairnaleis (adj. A)
astrologist (n.),1. *stairnaleis (m. A) (declined like an adjective) 2. *stairnaleisa (f. O) (declined like an adjective)
astrology (n.),*stairnaleisei (f. N)
astronomer,1. *stairnaleis (m. A) (declined like an adjective) 2. *stairnaleisa (f. O) (declined like an adjective)
astronomical,*stairnaleis (adj. A)
astronomically,*stairnaleisaba
astronomy (n.),*stairnaleisei (f. N)
Athens (n.),"Aþeineis (m. U/I) (lit. Athenians, but the plural form of a people was used to refer to a place too.)"
"attack, to",gasokjan miþ *wepnam (m. A)
attacker (n.),"tilarīds (m. A) (from Gothic inscription on spearhead of Kowel, West Ukraine)"
attention (n.),*gáums (m. A)
"attract, to (v.)",atþinsan (III)
attracter (n.),*atþinsands (m. Nd)
attractor (n.),*atþinsands (m. Nd)
auger (n.),*nabagais (m. A)
aunt (n.),1. *faþa (f. O) / *faþo (f. N) (father’s sister) 2. *modrujo (f. N) (mother’s sister) (Reconstructed by Nelson Goering)
austere,hardus (adj. U)
Austria (n.),*australand (n. A)
author (n.),bokareis (m. Ja)
authority (n.),"waldufni (n. Ja), by what ~ = in hwamma waldufnje"
avenger (n.),*fraweitands (m. Nd)
avidity (n.),aljan (n. A)
"await, to (v.)",beidan (I)
"awake, to (v.)","gawaknan (IV weak) 2. usskarjan (I weak j) (awake from something bad, power from evil)"
"aware, to be",miþwitan (pret-pres) (for I know nothing by myself = nih waiht auk mis silbin miþwait)
axe,aqizi (f. Jo)
Babylonia,*Babwlaun
backwards,afta
bag,balgs (m. I)
Balder (myth.),*baldrs (m. A)
ball,*balla (m. N)
balloon,+bauljo (f. N)
balsam,balsan (n. A)
"ban, to (v.)",uswairpan (III abl)
"banish, to (v.)",uswairpan (III abl)
bank,skattjans (m. N) (plural of skattja (moneychanger) means a bank)
banker,1. *skattja (m. N) 2. *skattjo (f. N)
banquet,dauhts (f. I)
baptism (n.),daupei (f. N)
baptist,daupjands (m. Nd)
"baptize, to (v.)",daupjan (I weak i)
bar,ans (m. A)
barbarian,barbarus (m. U/I)
barely,halisaiw
barley,"barizeins (adj. A), ~ loaf = barizeins hlaifs (m. A) cooked ~ = *finja (f. O) (Attested as the Gothic word “fenea” in De observatione Ciborum from Anthimus and as “fingia” in the Liber derivationum from Ugutio, the reconstruction given here is in Wulfilan Gothic)"
barn,bansts (m. I)
barrel,*barils (m. A)
barren,stairo (f. N)
basket,tainjo (f. N)
battle,waihjo (f. N)
beach,staþ (n. A) / staþs (m. A)
beak (n.),*nabi (n. Ja)
beam,ans (m. A)
bean,*bauna (f. O)
bear,*baira (m. N)
"bear, to",bairan (IV)
"beat, to (v.)",1. stautan (II red) 2. bliggwan (III abl) 3. *biutan (II)
beautiful,skauns (adj. I/Ja)
beautifully,*skauniba
because,1. duþe 2. unte (Only in initial position.) 3. ~ of = in + gen
bed,ligrs (m. A)
bedroom,(neol) badiheþjo (f. N) / (neol) slepaheþjo (f. N)
bee,*biwa (f. Wo)
beer,"*alu (n. U), barley ~ = barizalu (n. U), black ~ = swartalu (n. U), wheat ~ = hwaitjalu (n. U), white ~ = hweitalu (n. U)"
before,1. faurþis 2. faurþizei + subjunctive (only used after a comma)
"beg, to (v.)",bidjan (V)
beggar,bidagwa (m. N)
beginning,anastodeins (f. I)
"behave, to (v.)",~ badly = aiwiskon (II weak)
behaviour,usmet (n. A)
behind,1. aftaro (adv.) (used when referring to a verb with behind) 2. aftana (adv.) (used when referring to a verb with behind including movement)
behold,sai
Belarus,+Hweitarusaland (n. A)
Belarussian,1. +Hweitarus (m. A) (citizen) 2. +Hweitarusisks (adj. A)
Belgian,1. *Bailgus (m. U/I) (citizen) 2. *Bailgisks (adj. A)
Belgium,*Bailgaland (n. A)
Belgrade,+hweitabaurgs (f. Cons)
belief,galaubeins (f. I/O)
"believe, to (v.)","galaubjan (I weak i) + dat, ~ in = galaubjan du + dat"
bench,*banks (m. I)
"bend, to (v.)",*lutan (II strong) (reconstructed by J.R.R. Tolkien)
benefit,wailadeþs (f. I) (good deed)
Beroia,"Bairauja (f. Noun, declined as O)"
berry,basi (n. Ja)
"beset, to (v.)",bisatjan (I weak j)
Bethlehem,Beþlaihaim (nom. Beþlaihaim gen. Beþlaihaimis)
"betray, to (v.)",fralewjan (I weak)
better,1. batiza (comp.) 2. usiza (comp.) (Preferable)
between,"miþ + dat, ~ the two borders = miþ tweihnaim markom"
"bewail, to (v.)",flokan (V red)
"bewitch, to (v.)",afhugjan (I weak)
bicycle,1. *raþjo (f. Jo) (lit. Wheeler) 2. *bainjo (f. Jo) (lit. Legger) 3. *fotjo (f. Jo) (lit. Footer) 4. *eisarnamarhs (m. A) (lit. Iron-horse)
big,mikils (adj. A)
binary,"1. *tweihnai (adj. A) (plural, meaning both) (W.E.) 2. *twafalþs (adj. A) (W.E.)"
biological,*libainileis (adj. A)
biologist,1. +libainileis (m. A) (declined like adjective) 2. +libainileisa (f. O) (declined like adjective)
biology,+libainileisei (f. N)
birch,*bairka (f. O)
bird,fugls (m. A)
birdseed (n.),1. *fuglaseþs (m. I) 2. *fuglafraiw (n. A)
birth,gabaurþs (f. I)
bisexual,1. *alalustja (m. N) (bisexual man) 2. *twalustja (m. N) (bisexual man) 3. *alalustjo (f. N) (bisexual woman) 4. *twalustjo (bisexual woman)
bishop,"aipiskaupus (m. U), office of a ~ = aipiskaupei"
bitch,1. *hundi (f. Jo) 2. *hundjo (f. N) 3. *bikjo (f. On) 4. *tauho (f. N)
bitcoin,(neol) *bitkaujn (n. A)
"bite, to (v.)",beitan (I abl)
bitter,baitrs (adj. A)
bitterness,baitrei (f. N)
black,swarts (adj. A)
blackbird,*amslo (f. N)
blackjack (n.),swarts Iakobus (m. U)
"blame, to (v.)",1. anawammjan (I i weak) 2. andbeitan (I abl) 3. fairinon (II weak)
blameless,ungafairinoþs (past-perf)
blank,*bas (adj.) (reconstructed by J.R.R. Tolkien)
blasphemy,1. wajamerei (f. N) 2. wajamereins (f. I/O)
"blend, to (v.)",blandan (III red)
"bless, to (v.)",þiuþjan (I i weak)
blessed,audags (adj. A)
blessedness,audagei (f. N)
blessing,þiuþeins (f. I/O)
blind,blinds (adj. A)
"blinded, to be",afdaubnan (IV weak) (ak afdaubnodedun fraþja ize = but their minds were blinded)
"block, to",faurdammjan (I i weak) (as in to block the way)
blog,*blaug (n. A)
blogger,1. *blaugja (m. N) (male blogger) 2. *blaugjo (f. N) (female blogger)
"blow, to",waian (red abl)
blue,1. *blews (adj. A) 2. *blaus (adj. Wa) (W.E.)
blueberry (n.),*blewabasi (n. Ja)
Bluetooth (n.),1. *blewatunþus (m. U) 2. *blutuþ (n. A) (as a loanword from English)
boar,*bais (m. A)
board (n.),baurd (n. A)
"boast, to",hwopan (V red)
boaster,bihaitja (m. N)
boasting,hwoftuli (f. Jo)
bodily,leikeins (adj. A)
body,leik (n. A)
"bold, to be",anananþjan (I i weak)
boldness,balþei (f. N)
bond,kunawida (f. O)
bondage (n.),"þiwadw (noun, acc. form), to bring into ~ = gaþiwan (III weak)"
bordel,1. kalkjarazn (n. A) 2. *kalkjahus (n. A)
border,marka (f. O)
"border, to",gamarkon (II weak)
bough *bogus (m. U) (reconstructed by J.R.R. Tolkien),
boundary,marka (f. O)
"born, to be",wairþan (III)
"borrow, to",leihwan (I abl)
bosom,barms (m. I)
bow,*buga (m. N)
"bow, to",biugan (II abl)
box,arka (f. O)
boy (n.),magus (m. U)
branch,1. asts (m. A) 2. tains (m. A)
bread,"hlaifs (m. A) (f turns to b in sing. Gen + dat and all plural forms), light ~ = hwaitahlaifs (m. A), brown ~ = swartahlaifs (m. A), wheat ~ = hwaitjahlaifs (m. A)"
"break, to","dishniupan (II abl)- he brake the bands = dishniupands þos bandjos, ~ free/ forth / loose = tarmjan (I weak i)"
breast,brusts (f. Cons.)
breastplate,brunjo (f. N)
breath,*aþana (m. N)
bridegroom,bruþfaþs (m. I)
bridge,1. *bruddi (f. Ja) 2. *bruwja (f. Ja)
"bring, to",attiuhan (II abl) (to bring a person)
broad,rums (adj.)
brook,rinno (f. N)
brother,"broþar (m. R), ~s = broþrahans (m. N)"
brotherly love,broþrulubo (f. N)
brown,*bruns (adj. A) (reconstructed by J.R.R. Tolkien)
"bruise, to",gamalwjan (I weak)
bubble,*bauljo (f. N)
"build, to",timrjan (I j weak) ~ upon = anatimrjan (I weak i)
building,gatimrjo (f. N)
Bulgaria,*Bulgarja (f. O)
Bulgarian,1. *Bulgarus (m. U/I) 2. *Bulgariska (adj. A) razda (f. O) 3. *Bulgarisks (adj. A)
burden,kauriþa (f. O)
burial,"gafilh (n. A), day of burying = dags (m. A) gafilhis"
"burn, to","intundnan (IV weak), tundnan (IV weak) (intrans. perf., used as in to burn oneself, not to burn something or someone else, as in: I am burning = ik intundna, ik im intundnands)"
burnt-offering (n.),ala-brunsts (f. I)
"bury, to",ganawistron (II weak) (perf.)
bus,1. *aumnibus (m. A/m. U) 2. *wigaskip (n. A)
bush,bramble ~ = aihwatundi (f. Jo)
bushel,mela (m. N)
business,to do ~ = kaupon (II weak)
butcher,skilja (m. N)
butter,1. *ankwa (m. N) 2. *smairw (n. A) 3. *butwr (n. A) 4. *butwraun (loan from Greek)
butterfly,1. *feifalþra (f. O) 2. *feifaldra (f. O)
button,*haubidilo (n. N) (lit. little head)
"buy, to",bugjan (I weak j)
byte,*bajt (n. A)
cabbage,*kauls (m. A)
cacao,*kakaw (n. A)
cage (n.),karkara (f. O)
cake,*koka (f. O)
calf,1. stiur (m. A) 2. kalbo (f. N) (female calf which is under one years old and which hasn’t got calves yet)
"call, to",atlaþon (II weak)
calm,wis (n. A) (of water)
cam (n.),*kam (n. A)
camel,ulbandus (m. U)
camera (n.),*kamaira (obskura) (f. O)
camp,bibaurgeins (f. I/O)
"can, to",magan (pret-pres)
cancer (n.),gund (n. A)
candlestick (n.),lukarnastaþa (m. N)
capital city (n.),*haubidabaurgs (f. Cons)
captivity (n.),hunþs (m. A)
car (n.),*karrs (m. A)
carbon (n.),*kul (n. A)
card (n.),*karta (f. O)
cardboard (n.),*kartabaurd (n. A)
cardiological,*hairtaleis (adj. A)
cardiologist (n.),1. *hairtaleis (m. A) (declined as adjective) 2. *hairtaleisa (f. O) (declined as adjective)
cardiology (n.),*hairtaleisei (f. N)
care (n.),"1. kara (f. O), he ~s about .. = .. (gen) imma kara ist, to take ~ of = gakaron (II weak) (perf.), to ~ for = karon (II weak) 2. saurga (f. O)"
carefully,us gaþagkja
carp (n.),*karpa (f. O)
carpenter (n.),timrja (m. N)
"carry, to","bairan (IV), ~ away = miþgatiuhan (II abl)"
"cast, to","~ down = afdrausjan (I i weak), ~ away = afskiuban (II abl) + dative, ~ off = afskiuban (II abl) + dat"
casualness (n.),latei (f. N)
catalogue,*katalaugus (m. U)
catamite,*magulus (m. U)
cathedral,*aipiskaupaus aikklesjo (f. N) 2. *kaþaidral (n. A)
Catholic,*allagalaufs (adj. A) (Based on Old English “eallgeleaflic”)
Catholicism,*allagalaubeins (f. I/O)
cauldron,*hwair
cause (n.),for this ~ = duþþe
cautious,*war (adj. A)
cautiously,*waraba
"cease, to","sweiban (i abl) , not ~ = ni hweilan (III weak)"
celestial body,tuggl (n. A)
cell,1. *kailla (f. N) 2. heþjo (f. N)
Celt,*Kailts (m. A) (W.E.)
Celtic,*Kailtisks (adj. A)
centurion,hundafaþs (m. I)
century,*jerahund (m. A)
certain,sums (adj. A)
chaff,ahana (f. O)
chair,sitls (m. A)
chamber,heþjo (f. N)
change,inmaideins (f. I/O)
"change, to",1. inmaidjan (I i weak) 2. ~ into = ingaleikon (II weak)
charitably (adv.),bi friaþwai
cheek,kinnus (f. U)
cheerfulness,hlasei (f. N)
cheese,1. *justs (m. A) 2. *kaseis (m. Ja)
chicken,hana (m. N)
child,barn (n. A)
childhood,barniski (n. Ja)
childish,barnisks (adj. A)
chiliarch,"*þiufaþs (m. I) (Attested in the Visigothic law, leges Visigotorum II, 1,16 and 1,27)"
chocolate,*kakawamats (m. A)
Christ,Xristus (m. U)
christmas,"weiha (adj. A) nahts (f. Cons.), weiha nahts"
chromosome,*xromasoma (n. A) (nom. Pl. *xromasomata) (W.E.)
chupacabra,1. *gaitisugja (m. N) (reconstructed by B. P. Johnson) 2. *gaitisugjo (f. N) (female chupacabra)
church,aikklesjo (f. N)
cigarette,*sigaraita (f. O) (reconstructed by B. P. Johnson)
Cilicia (n.),Kileikia (gen. Kileikiais)
cinder,azgo (f. N)
cinema,1. *filmarazn (n. A) 2. *filmahus (n. A)
circle,*kriggs (m. A)
"circumcise, to",bimaitan (I red)
circumcision,bimaita (f. O)
circumspect (adj.),andaþahts (adj. A)
citizen,baurgja (m. N)
citizenship,kawtsjo (f. N)
clamour,hrops (m. A)
clay,þâho (f. N)
cleansing,gahraineins (f. I/O)
clear,skeirs (adj. I) (as in clearly understanding)
clearly,*skeiriba (adv) (as in clearly understanding)
clever (adj.),handugs (adj. A)
cleverness (n.),handugei (f. N)
"climb, to",~ up into = ussteigan (I abl)
cloak,inilo (f. N)
clock,"*horaulaugi (n. Ja) (based on the word for a time-keeping device in Latin, hōrologium, from the Greek word hōrológion)"
cloke,hakuls (m. Noun)
close,nehwa (near) + dat
"close, to",~ a book = falþan (III red) bokos (f. O)
closer,nehwis
closet,heþjo (f. N)
"clothe, to",gawasjan sik (I weak)
cloud,milhma (m. N)
coal,"hauri (n. Ja), glowing ~ = *brasa"
coast (n.),*stranda (f. O)
coat,paida (f. O)
cock,hana (m. N) (male hen)
cockatoo (n.),*kakatwa (f. Wo) (direct from Malay kakaktua)
coffee,*kahwa (f. O) (W. E.)
coin,skatts (m. A)
cold,kalþs (adj. A)
"collect, to (v.)",huzdjan (I i weak)
collection (n.),huzd (n. A)
collectively,alakjo
colony,niujaland (n. A) (W.E.)
"colour, to",*faihjan (I weak i)
colouring,*faiheins (f. I/O)
colt,fula (m. N)
comb,*kambs (m. A)
"comb, to",*kambjan (ei)
"come, to",qiman (IV abl)
coming,qums (m. I)
comfort,gaþrafstei (f. I/O)
"comfort, to",1. anaþrafstjan (I weak) 2. gaþlaihan (I red)
comforter,parakletus (m. U) (Greek)
comfortless,widuwairna (m. N)
"command, to",anabiudan (II abl)
commander,the ~ of the highest division of the Visigothic army (þiufa) = *þiufaþs (m. I)
commandmend,anabusns (f. I)
comment,*waurd (n. A)
"commit, to (v.)","gatrauan (III weak) (As in, commit in trust. For commit as in dedication, commit oneself to something, see strife, to)"
commonwealth,usmet (n. A)
"communicate, to (v.)",1. ussakan (VI abl.) + dat for persons or acc for things 2. gamainjan (I weak i)
communication,gawaurdi (n. Ja)
communism,1. *gamainalaiseins (f. I/O) 2. *gamaineins laiseins (f. I/O) 3. *kaumunismus (m. U)
communist,1. *kaumunistus (m. U) 2. *gamainalaiseinja (m. N) 3. *gamainalaiseinjo (f. N)
communistic,*kaumunists (adj. A)
companion,gahlaiba (m. N)
"compare, to",galeikon (II weak) + dat (dative is that to which is compared)
compassion,to have ~ = infeinan (IV weak)
"compell, to",baidjan (I weak i) + acc
"complain, to (v.)",hiufan (abl. II)
concord (n.),samaqiss (f. I)
concubine (n.),*aljo (f. N)
concupiscence (n.),gairuni (n. Ja)
"condemn, to (v.)",gawargjan (I weak i) + dat
condemnation (n.),wargiþa (f. O)
conference (n.),gaqumþs (f. I)
"confess, to (v.)",andhaitan (red. I) + dat.
"confirm, to",gatulgjan (I weak i)
confirmation,*gatulgeins (f. I/O)
congress (n.),gaqumþs (f. I)
connectedly,gahahjo
conscience,1. miþwissei (f. N) 2. þuhtus (m. U) 3. gahugds (f. I)
consent,gaqiss (adj. A)
consequently,nu
"consider, to (v.)",andsaihwan (V abl)
"consist, to (v.)","ussatiþs (I weak j) wisan, and by him all things consist = jah alla in imma ussatida sind."
consolation,þrafsteins (f. I/O)
conspiracy,birunains (f. I) ~ theory = *unkusana gaskeireins (f. I/O) birunainais
conspirator,*birunands (m. Cons.)
"conspire, to",birunan (III)
"constrain, to (v.)",nauþjan (I weak i)
"consume, to",fraqiman (IV abl) + dat
"contain, to",haban (III weak)
container,~ for transport = *barils (m. A)
content,to be ~ = ganohiþs (I weak i) wisan
continence,gahobains (f. I)
continual (adj.),unhweila (adj. A weak)
continually (adv.),sinteino
contrariwise,wiþrawairþo
contrary,andaneiþs (adj. A)
convenient,gatils (adj. A)
conveniently,gatilaba
convent,*maunasteri (n. Ja) (W.E.)
convention,gaqumþs (f. I)
conversation,gawaurdi (n. Ja)
conversion,gawandeins (f. I/O)
cool,*kolus (adj. U)
Copenhagen,*Kaupahabana (f. O)
coppersmith,aizasmiþa (m. N)
corner,"waihsta (m. N), ~ stone = waihstastains (m. A)"
corporal,leikeins (adj. A)
corporeal,leikeins (adj. A)
correction,garaihteins (f. I/O)
"corrupt, to",riurjan (I weak i)
corruption,riurei (f. N) (as in eternal destruction)
costly,"galaufs (adj. A), very ~ = filugalaufs (adj. A)"
cotton,*bagmawulla (f. O)
council,"gafaurds (f. I), to take ~ = runa (f. O) gataujan (I)"
counsel,to give ~ = garaginon (II weak) (perf.)
counsellor,ragineis (m. Ja)
country,land (n. A)
countryman,inkunja (m. N)
course (n.),runs (m. I) (A course in a walk)
cousin,1. gadilligs (m. Noun) (male) 2. niþjo (f. N) (female) 3. ganiþjis (m. Ja)
coutiousness,gaþagki (n. Ja)
covenant (n.),triggwa (f. O)
"cover, to",huljan (I weak j)
cow,*kos (f. Cons)
coward (n.),*arga (m. adj. weak)
craftiness,warei (f. N)
crane,*krana (m. N)
crazy,"1. dwals (adj. A) (foolish, stupid) 2. woþs (adj. A) (raging mad, insane)"
cream,1. *raums (m. A) 2. *riuma (m. N)
creation,gaskafts (f. I)
creature (n.),gaskafts (f. I)
creditor,dulgahaitja (m. N)
"creep, to",sliupan (II abl) (as in creep into the house)
crime,missadeþs (f. I)
criminological,*missadedileis (adj. A)
criminologist,1. *missadedileis (m. A) (declined like a strong adjective) 2. *missadedileisa (f. O) (declined like a strong adjective)
criminology,*missadedileisei (f. N)
crooked,wraiqs (adj. A)
cross,1. *kruks (m./n. A) 2. galga (m. N) (christian cross)
"crow, to",hrukjan (I weak i)
crown,1. waips (m. Noun) 2. wipja (f. Jo)
"crown, to",weipan (I abl)
"crucify, to",1. ushramjan (I j) 2. hramjan (I weak j)
crumbs,drauhnos (f. O plur)
craft,*krafts (f. I)
cry (n.),hrops (m. A)
"cry, to (v.)",wopjan (I weak i)
crystal,*eisastains (m. A)
cube,1. *kubus (m. U) 2. *kwbus (m. U)
cubit,aleina (f. O)
cuckoo bird,*gauks (m. A)
cultural,*biuhtje (lit. Of the customs)
culture,1. *kunjahaidus (m. U) (lit. tribe-manner) 2. *biuhtja (n. Ja) (lit. customs)
cup,"stikls (m. A), ~ of water = stikls (m. A) watin"
cupboard,*armali (n. Ja) (W. E.)
custom,"1. biuhti (n. Ja), according to the ~ = bi biuhtja 2. biuhts (adj. A)"
"cut, to","maitan (I red), ~ off = usmaitan (I red)"
cymbal,klismo (f. N)
Czech,1. *Tsjaiks (m. A) (citizen) 2. *Tsjaikisks (adj. A)
Czech republic,*Tsjaikaland (n. A)
Dalmatia,Dalmatia (f. Declined as O)
Damascian,Damasks (adj. A)
