English,Occidental
adjoin,"adjacer, vicinar"
adjourn,ajornar; (parl.) prorogar
adjudge,adjudicar (-ation)
adjunct,"suplement, anexe, adjuntete"
adjure,"adjurar, suplicar"
adjust,"adjustar, ordinar, corecter, rectificar"
adjustable,"adjustabil, variabil"
adjutant,adjutante
administer,"administrar (-ation, -ativ, -ator); gerer"
admiral,amirale
admire,"admirar (-abil, -ation, -ator)"
admissible,admissibil (-itá)
admit,"admisser (-ion); confesser; conceder, aconosser"
admixture,admixtion
admonish,"monir, admonir, exhortar"
ado,"desfacilitá, tumultu, bruida"
adolescent,"a. ~ (-e, -ie}"
adopt,"adopter (-ion, -iv)"
adore,"adorar (-abil, -ation, -ator)"
adorn,"ornar (-ament), decorar"
to be adrift|adrift,"drivar, esser flott"
adroit,"habil, astut, capabil"
adulate,"adular (-ation, -ator), flattar"
adult,"adult, plen-crescet; n. adulte"
adulterate,"falsar, corupter"
adultery,adultérie. to commit ~: adulterar
adumbrate,esquissar
advance,"v. avansar, progresser. in ~: in avanse, anticipatmen"
advantage,"avantage (-eosi), profite. to take ~ of: profitar"
advent,ariva; (eccl.) advente
adventitious,"accidental, hasardal"
adventure,"aventura (-ero, -osi)"
adverb,adverbie (-al)
adversary,"adversario, oponente, antagonist"
adverse,"adversi, contrari"
adversity,"misere, indigentie, beson"
advert to|advert,"aluder, referer, mentionar"
advertise,"anunciar, reclamar"
advertisement,"anuncie, reclam"
advice,consilie
advise,"consiliar; informar, avisar; (warn) advertir"
ill advised|advised|ill,"ínprudent, íncaut"
advocate,n. avocate; v. recomandar; (law) pledar
adze,curvi hacca
aegis,egide
aerate,aerar
aerial,antenne
aero-,"aero-dinamic, -nautica, -plane etc."
aesthete,"estete (-ic, -ica)"
afar,"lontan, distant, for"
affable,afabil (-itá)
affair,afere
affect,"afecter; (the feelings) emoer, emotionar; (pretend) afectar (-ation), ficter"
affection,"amore, afection"
affiance,sponder
affidavit,jurat atestation
affiliate,afiliar (-ation)
affinity,"afinitá, parentitá"
affirm,"afirmar (-ation, -ativ), asserter"
affix,"v. apender, adjunter; n. afixe"
afflatus,inspiration
afflict,"aflicter (-ion), vexar, tormentar"
affluence,"richesse, abundantie, opulentie"
afford,"haver li medies; (yield) dar, liverar, producter; he can ~ it: su medies permisse to, il dispone lì moné. music affords me pleasure: li musica aporta me piesura"
afforest,aforestar (-ation)
affray,"rixe, lucte"
affright,"aterrer, timentar"
affront,"insultar, ofender, afrontar"
far afield|afield,in lontanie
afloat,"flott, flottant"
afoot,in eada. what's ~: quo eveni
afore-,"pre-, antey"
afraid,timorosi. to be ~: timer
afresh,denov
aft,detra; in li stern
after,"(prep.) pos; (conj.) posque. ~ all: in fine, pos omno, in summa. ~birth: placenta. ~noon: posmidí"
afterwards,"poy, plu tard, pos to"
again,denov. once ~: ancor un vez
against,contra; (towards) vers; (close to) apu
agate,agate
age,"etá; (period) era, epoca, témpor. of ~: plen-etosi, adult, majori. old~: oldesse; v. far old, devenir old"
agency,"agentie, agentura; (place) agentia"
agenda,"labor-órdine, agende"
agent,"agente, comissionario"
agglomerate,aglomerar (-ation)
agglutinate,aglutinar (-ation)
aggrandize,agrandar
aggravate,"iritar; (worsen) agravar, apejorar"
aggreagate,"amassar, acumular; n. totale, totalitá"
aggression,agression
aggrieve,"chagrinar, ofender, vexar"
aghast,"consternat, horret"
agile,"agil (-itá), alert"
agitate,"agitar (-ation, -ator)"
aglow,"ardent, fervent"
agnostic,agnostic; n. agnostico
ago,ante. tw0 months ~: ante du mensus
agonize,"tormentar, agonisar"
agony,"torment(es), agonie"
agrarian,a. agrari
agree,"consentir, concordar, acordar."
agreement,"consentiment, acorde, concordie, convention"
agreeable,"complesent, agreabil. i am ~: yo consenti, yo concorda"
agriculture,agricultura (-al)
agrophobia,agrofobie
aground,ye funde. to run ~: strandar
ague,febre (intermittent)
ahead,"to be ~ of: esser in avan de, esser in facie de. straight ~: rect adavan"
aid,"n. apoy, auxilie (-ar), sucurse (-er), assistentie"
aide-de-camp,adjutante
ail,"haver maladie, esser malad"
aim,"n. scope, intention; v. visar; (gun) apuntar"
air,"aere; (mus.) arie, melodie; (appearance) aspecte, aparentie; (manner) geste, maniere. ~tight: hermetic, /ínpenetrabil; v. aerar, ventilar"
airy,bon ventilat; spaciosi
aisle,ale
ajar,mi-apert
with arms akimbo|akimbo,con li manus sur coxe
akin,parent; afini
alabaster,alabastre
alack,o ve!
alacrity,"promptitá, alegritá, aviditá"
alarm,v. alarmar; (frighten) aterrer. to be alarmed: anxiar se; n. timore. ~clock: alarmhorloge
alas,ve
a|an,un
aback,"(taken aback) consternat, perplex, surprisat"
abaft,"a, vers li sterne"
abandon,"abandonar, ceder; n. licentie. with ~: sin gena abandoned: abandonat; (morally) ínmoral, depravat"
abase,"abassar, degradar, humilar"
abash,"confuser, pudentar. to be abashed: hontar, esser confuset, embarassat"
abate,"diminuer; (price) rabattar, redacter; (pain etc.) quietar, mitigar, moderar (se)"
abattoir,"bucheria, abattuore"
abbey,abatia
abbot,"abate (-essa, -ia, -iatu)"
abbreviate,"acurtar, abreviar"
abdicate,"abdicar; (office) demisser, demissionar, resignar, renunciar"
abdomen,"ventre, abdómine (-al)"
abduct,"rapter (-or, -ion), forducter"
aberration,"deviation, vagantie; (astr.) aberration; (mental) desórdine mental"
abet,"incitar, instigar; suportar; (aid) auxiliar"
abettor,"complice, incitator"
in abeyance|abeyance,"dormient, jacent; statu procrastinat"
abhor,"abominar, detestar (-ation)"
abide,"sejornar, habitar; (remain) permaner, restar; (- by) tener, observar; (endure) tolerar, suffrer; (abiding place) domicilie"
ability,"capabilitá, habilitá, facultate"
abject,"abject, bass, vil, miserabil, indigni"
abjure,"abjurar, renunciar (a), resignar"
ablative,ablative
ablaze,flammant
able,"habil, capabil, talentat. to be ~: posser. ~bodied: robust, fort"
ablution,lavation. to perform one's ~s: lavar se
abnegate,"abnegar (-ation), renunciar"
abnormal,"abnormal, ne normal, anormal"
aboard,a bord. to go ~: inbarcar
abode,"logí, habitation, domicilie"
abolish,"abolir (-ition); (annul) abrogar, anullar"
abominate,"detestar, abominar (-abil, -ation)"
aboriginal,"primitiv, original"
aborigines,"primitives, aborigines"
abort,aborter (-ion)
abortion,"aborte, misparturition"
abound,"abundar (-ant, -antie), pulular"
about,"concernent, pri; (approx.) circa; (around) circum. to be ~ something: ocupar se pri. to be ~ to: esser sur li punctu de"
albatross,albatroz
albeit,"malgré que, etsi, benque"
album,album
albumen,"albumine, blanc ovin"
alchemy,alchimie
alcohol,"alcohol, sprite"
alcove,"alcove, niche"
alder,alne. black ~: frangul
alderman,chef consiliero
ale,bir
alembic,alambic
alert,"alert, vigil, atentiv"
algebra,algebra
alias,n. fals nomine
alibi,alibi
alien,"a, foren, extran; n. foreno, extrano"
alienate,"alienar, vendir"
alight,"v. descender de, expassuar; a.brulant. to set ~: incendiar, inflammar"
align,alinear (-ament)
alike,"simil, egal, identic, pari"
aliment,"aliment (-ari, -ation), nutriment"
alimony,aliment-moné
alive,"vivent; vivid, alert, vivaci. to be ~ with: formicar ye"
alkali,alcali (-in)
all,"(everything) omnicos; (the whole) li totalité, lu tot; (- the) omni. after ~: in fine, in summa. above ~: precipue. not at ~: totmen ne, nequam. it's ~ the same to me.: it es me egal. ~right: bon, in órdine"
allay,"calmar, aleviar, moderar, quietar, mitigar"
allege,"afirmar, asserter"
allegiance,"loyalitá, fidelitá, homage, deventie"
allegory,"allegorie, parábol"
alleviate,"aleviar (-ation), mitigar"
alley,"stradette. blind ~: ciec-via, sacstrade"
alliance,alliantie
allied,"afini, parent; (persons) alliat"
alligator,"caiman, alligator"
alliteration,alitteration
allocate,"distribuer, assignar, portionar"
allot,"distribuer, portionar"
allotment,"(share) parte, portion, quote; (of land) parcelle"
allow,"admisser; (grant) conceder, permisser. ~ a discount: rabattar"
allowance,"portion; (due -) egarde, consideration; (monetary) assignament; (discount) rabatte. to make ~s for: indulger"
alloy,"alligar; n. mixtura, alliage"
allude,aluder (-sion)
allure,"seducter, atraer, lurar"
alluvium,alluvie (-al)
ally,"v. alliar, junter, unir; n. alliate"
almanac,"almanac, calendare"
almighty,omnipotent
almond,mandul (-iero)
almost,presc; quasi
alms,almosne
aloe,aloe
aloft,"supra, in supra"
alone,"sol, solitari; (only) solmen. to leave ~: lassar tranquil. let ~: a tacer pri"
along,along. ~ with: junt con. -side: (naut.) bord a borde
aloof,"reservat. to keep ~ from: tener se lontan de, evitar, restar neutral"
aloud,"vocosi, con voce, audibilmen"
alp,alpe (-in)
alpaca,alpaca
alphabet,alfabete (-ic)
already,ja
also,anc; (moreover) adplu
altar,altare
alter,"alterar (-ation), changear, mutar, modificar"
alternate,"a. alternant; v. alternar (-ation, -ative, -ator)"
although,"benque, etsi"
altitude,"altore, altitá; (geogr.) altitudine"
alto,alto
altogether,"(as a whole) in tot; (wholly) totmen, absolutmen"
altruism,altruisme
alum,alune
aluminium,aluminium
alveolar,alveolari
always,sempre
amalgam,amalgam
amanuensis,"secretario, assistente"
amaranth,amarante
amass,"amassar, acumular"
amateur,dilettante (-ic)
amaze,"astonar (-ant, -ament)"
amazon,amazona
ambassador,ambassador
amber,ambre
ambergris,ambregrise
ambidexterous,ambidéxteri
ambiguous,ambigui (-tá)
ambition,ambitie (-osi)
amble,v. amblar
ambrosia,ambrosie (-al)
ambulance,ambulantie
ambush,inboscada; v. inboscar
ameliorate,ameliorar (-ation)
amen,amen
amenable,"ductibil, influentiabil, docil, complesent"
amend,"corecter, emendar"
to make amends|amends,compensar
amenity,agreabilitá
amethyst,ametist
amiable,"amabil, afabil, suavi, amical"
amicable,amical
amid,"inter, in medie de"
amiss,"incorect, fals. to be ~ with: mancar. to take ~: esser ofendet per, prender in male"
ammeter,amper-metre
ammonia,amoniac
ammunition,munition
amok,amocc
among,inter. from ~: ex
amorous,amorosi
amorphous,"amorf, sin forme"
amount,"n. summa, quantitá; v. (to ~ to) summar a, equivaler"
amour,amor-afere
amphibious,amfibic
amphibian,n. amfibie
ample,"ampli ( -ficar, -fication, -ficator), suficent"
amplitude,amplore
amputate,amputar (-ation)
amulet,"amulete, talisman"
amuse,"amusar (-ation, -ant), divertisser."
amusing,drolli
an,un
anachronism,anacronisme
anaemia,anemie (-ic)
anaesthesia,anestesie
anaesthetic,anestetic (-a); n. anestetico
anagram,anagramma
analogy,analog (-ie)
analyse,analisar. analysis: analise
analytical,analitic
anarchy,anarchic (-ist)
anathema,anatema
anatomy,"anatomie (-ic, -ico, -isar), structura"
ancestor,"antecessor (-al), preavo"
ancestry,"progenitores, antecessores, devenientie"
anchor,"ancre (-ar, -age)"
anchorite,"anacorete, eremite"
anchovy,anchove
ancient,"ancian, antiqui, old"
ancillary,"suplementari, auxiliari"
and,e. and so on: et cetera
anecdote,anecdote
anemometer,anemometre
anemone,anemone
anent,"pri, concernent"
aneurism,aneurisme
anew,denov
angel,ángel (-ic)
anger,colere (-osi); v. colerar
angle,angul (-ari); v. croc-piscar
angry,"incolerat, coleric"
anguish,"anxietá, angustie, torment"
aniline,aniline
animadversion,"blama, reproche, reprimande"
animal,"bestie, animale, brute; a. animalic"
animalcula,infusories
animate,"animar, inspirar"
animosity,"inamicitá, hostilitá"
aniseed,anise
anker,ancre (-age)
ankle,malleol
annals,"annales, cronica"
anneal,temperar
annex,"n. anexe; v. anexer, adjunter"
annihilate,"anihilar (-ation), destructer, exterminar"
anniversary,anniversarie
annotate,anotar (-ation)
announce,"anunciar, notificar, proclamar"
announcement,"anuncie, proclamation"
annoy,"vexar, molestar, trublar, genar"
annual,annual; n. (book) annuarium; (plant) annuale
annuity,annuitá
annul,"anullar, abolir, abrogar"
annunciation,anunciation
anode,anode
anodyne,"anodine, dedolorative"
anoint,"unguentar, uncter"
anomaly,anomalie
anon,strax; (later) bentost; depoy
anonymous,anonim (-itá)
another,"altri, ancor un. one ~: unaltru"
anserine,gansin; stult
answer,"replica, response; v. responder. to ~ for: responsar"
ant,formíca. ~hill: formiciera
antagonism,"antagonisme, oposition"
antarctic,antarctic. the ~: antarctica
antecedent,"a. ~, anteyan, anteriori"
ante-,"ante-datar, -natal etc."
antelope,antilop
antenna,antenne
anterior,anteriori
anthem,"himne, antifon; arie national"
anther,antere
anthology,antologie
anthracite,antracite
anthrax,antraxe
anthropo-,"antropo-logo, -metric"
anti-,"anti-semite, -septic etc."
anticipate,anticipar (-ation). in ~: anticipatmen
antics,"drolleríe, gestes grotesc"
antidote,"antidot, antitoxine"
antimony,antimon
antipathy,antipatíe
antipodes,antipode
antiquarian,n. antiquario; a. antiquaric
antiquated,"antiquat, obsolet"
antiquity,antiquitá
antirrhinum,"antirrínum, bocca de leon"
antithesis,antitese
antler,"cornament, cornatura"
anus,ánus
anvil,incude
anxiety,anxietá
anxious,"íntranquil, anxiosi; tre desirosi"
any,"alquel, quelcunc; (- kind of) alqual, qualcunc. often omitted: have you any matches: esque vu have inflammettes? i will not stay any longer: yo ne va restar plu long"
anybody,"(interr.) alcun, alquí, alquem; (no matter who(m)) quicunc, quemcunc"
anyhow,alquam; (no matter how) quamcunc
anything,(interr.) alquó; (no matter what) quocunc
anywhere,(interr.) alcú; (no matter where) ucunc
apace,"rapidmen, hastosimen"
apart,"apart, separat, isolat, desunit. ~ from that: ultra to"
apathetic,apátic. apathy: apatíe
ape,"simio; v. imitachar, simiar"
aperient,"purgative, laxative"
aperture,"apertura, intersticie"
apex,"punta, sómmite, culmine"
aphorism,aforisme
apiary,apiera. apiarist: apioultor
apiece,(por) chascun
apogee,apogé
apologize,demandar pardon
apology,"excusa, apologie"
apoplectic,apoplectic
apoplexy,apoplexie
apostasy,apostasie
apostate,apostatico
apostle,"apóstol (-ic), disoiple"
apostrophe,apostrof
apothecary,"apotecario, farmacist"
apothegm,"maxime, aforisme"
apotheosis,apoteose
appal,"aterrer, decoragear"
appanage,apanage
apparatus,aparate
apparel,"vestiment, costume"
apparent,"aparent (-ie), semblant"
apparition,"aparition, fantom, spírite"
appeal,"n. apelle; v. apellar; implorar, suplicar appear: aparir; (seem) aparer (-entie), semblar"
appearance,"aspecte, semblantie"
appease,"calmar, quietar, tranquilisar"
appellant,"apellante, acusator"
append,"anexer, adjunter. apender"
appendix,apéndice (-ite)
appertain,apartener
appetite,apetite. appetising: apetitisant
applaud,aplauder; (clap) claccar. applause: aplause
apple,pom (-iero)
appliance,"aparate, utensile, expediente, machine"
applicable,aplicábil (-itá)
apply,"aplicar (-abil, -ation). to ~ to: tornar se a. to ~ oneself to: devoer se a"
appoint,"fixar, destinar, etablisser; (a person) nominar, electer. appointment: rendevú, nomination, oficie"
apportion,"partir, aportionar, divider"
apposite,"apt, convenent"
apposition,aposition
appraise,"apreciar, taxar, evaluar, estimar"
appreciate,"apreciar, estimar"
apprehend,"percepter, comprender; arestar"
apprehensive,"ínquiet. to be ~ of: esser ínquiet, timer pri"
apprentice,aprentiso (-age)
apprise,"avisar, informar, notificar"
approach,"aproximar se, avicinar se, ear al incontra de"
approbation,aprobation
appropriate,"convenent, scope-conform, apt; v. apropriar (-ation)"
approve,aprobar
approximate,aproximativ; v. aproximar (se)
approximately,circa
appurtenances,"accessories, garnitura, requisites"
apricot,abricot
april,april
apron,avantale
apropos,apropó
apse,"apside, altar-niche"
apt,"apt, inclinat. to be ~ to: tender"
aquarelle,aquarelle
aquarium,aquarium
aquatic,aquatic
aqueduct,aqueducte
aquiline,aquilin
arabesque,arabesca
arable,"arabil, plugabil"
arbiter,arbitre (-ari)
arbitrate,"arbitrar (-ation, -ator)"
arborescent,arboratri
arbour,"pérgola, laube"
arc,"arc (-ade, -ero)"
arch 1.|arch,"arc, ogive; a. friponi"
arch- 2.|arch,"archi-angel, -episcop, etc."
archaic,arcaic. archaism: arcaisme
archeologist,archeologo (-ie)
archipelago,archipelago
architect,architecte (-ura)
architrave,architrav
archives,archive (-ario)
arctic,arctic. the ~: arctica
ardent,"ardent, fervent, impetuosi"
ardour,ardore
arduous,"penosi, laborosi, fatigant"
area,"area, superficie, spacie"
arena,arena
argent,argente (-in)
argillaceous,"argilosi, argilatri"
argue,"arguer (-ment)j (dispute) argumentar, disputar"
aria,arie
arid,arid (-itá)
aright,just(men)
arise,"levar se. to ~ out of: nascer ex, provenir"
aristocrat,"aristocrate (-ie, -ic)"
arithmetic,aritmetica
arithmetician,aritmetico
ark,(noah's) area de noé
arm,"(limb) brasse; (mil.) arme. armful: brassade. armpit: axille; v. armar (-ament). coat of ~s: blason, emblema"
armchair,fotel
armistice,armisticie
armour,curasse; v. blindar
armoury,arsenale; armería
army,armé
aroma,"aroma (-tic), odore, parfum"
around,"circum; (approx.) circa, pluminu"
arouse,"alarmar, avigilar; (stir up) excitar, iritar"
arquebus,arcabuse (-ero)
arrack,aracc
arraign,"acusar, inculpar"
arrange,"arangear (-ament), ordinar; disposir"
arrant,archi-
array,"n. órdine, serie; vestes; v. ordinar, arangear; vestir"
arrears,"residue, rest, summa ínpayat"
arrest,n. areste (-ar); (stop) impedir
arrival,ariva; (person) ariva(n)te
arrive,"arivar, advenir"
arrogate,"arogar, pretender"
arrogant,"arogant (-ie), insolent, pretensiosi"
arrow,fleche. ~shaped: sagittiform
arsenal,"arsenale, armería"
arsenic,arsenic
arson,incendiation
art,"arte (-ist, -istic). ~ galiery: pinacoteca"
artery,arterie (-osclerose)
artful,astut (-ie)
arthritis,artrite
artichoke,artichoc. jerusalem ~: topinambur
article,articul; (thing) cose
articulate,articular (-ation)
artifice,artificie
artificial,artifical (-itá)
artillery,artillerie
artisan,"artisian (-al, -atu)"
artless,"naiv, inafectat, simplic, ingenui (-tá)"
as,(because) proque; (manner) quam. ~ rich ~: tam rich quam. ~ far ~: til. ~ far ~ i know: secun quo yo save. ~ to: concernent
asbestos,asbeste
ascend,"ascender (-sion), montar"
ascendancy,superioritá
ascertain,constatar
ascetic,"(person) ascete (-ic, -isme)"
ascribe,"atribuer, imputar"
ash,cindre (-iere); (tree) fraxine
ashamed,hontosi. to be ~: hontar. to make ~: ahontar
aside,ad-látere. to put ~: escartar
asinine,asinin
ask,"questionar, interrogar. ~ for: petir, demandar"
askance,to look ~ at: regardar con suspection
askew,obliqui
aslant,"obliqui, inclinat, clin"
asleep,"dormient, indormit. to pall ~: indormir"
asp,"aspide, vípere; (tree) tremul"
asparagus,asparge
aspect,"aspecte, vis-punctu"
asperity,"aspritá, acerbitá"
aspersion,"calumnie. to cast ~s: defamar, descreditar"
asphalt,asfalte
asphyxiate,asfixiar (-ation)
aspirate,"v. aspirar (-ant, -ation)"
aspire,"aspirar (a), penar, efortiar"
ass,"ásino; stupidon, stulton"
assail,"ataccar, assaltar"
assassin,"mortard. assassinate: assassinar (ation, -ator)"
assault,n. assalte (-ar)
assay,"v. provar, essayar"
assemble,"convenir, assemblar, reunir se"
assembly,"assemble, convenida"
assent,"assentir, consentir. to give - to: sanctionar, aprobar"
assert,"asserter (-ion), afirmar"
assess,"evaluar (-ation), taxar"
assets,actives
assiduous,"assidui (-tá), diligent"
assign,"assignar, atribuer"
assimilate,assimilar (-ation)j incorporar
assist,"auxiliar, assister (-ente, -entie)"
assizes,"assises, tribunale"
associate,n. socioj v. associar (se)
association,"association, societé, club"
assonance,assonantie
assort,"assortir (-iment), classificar"
assuage,"mitigar, moderar, lenir, aleviar"
assume,suposir; (usurp) usurpar. to ~ as true: acceptar. to ~ a likeness: simular
assumption,hipotese
assure,"assecurar, afirmar"
assurance,(insurance) assecurantie (self-confidence) aplombe
aster,aster
asterisk,asterisco
astern,"a sterne, a dorse"
asthma,"astma (-tic, -tico)"
astonish,"astonar (-ament, -ant), surprisar"
astraddle,con gambes furcat
astral,astral
to go astrey|astrey,* misviar; errar
astringent,astringent
astrologer,"astrologo (-ie, -ic)"
astronomer,"astronom (-ie, -ic)"
astute,astut (-ie)
asunder,"apart, separat; dis-"
asylum,"asil, hospicie por alienates"
at,"(place) in (london), a; (time) ye."
at three o'clock|at,"ye tri horas; (house, shop) che."
at the barber's|at,"che li barbero; (towards) vers, contra, a; (at the rate of) tri horloges a fr. 100."
at all events|at,in omni casu.
at least|at,adminim.
at once|at,strax.
at most|at,admaxim
atheism,ateisme. atheist: ateo
athlete,atlete (-ic)
atlas,"atlas, landcarte"
atmosphere,atmosfere (-ic)
atmospherics,atmosferic perturbationes
atoll,atoile
atom,"atom (-ic, -bombe)"
to atone for|atone,"* expiar, compensar"
atrocious,"atroci (-tá), horribil"
atrophy,n. atrofie (-ar)
attach,"atachar (-ament), fixar, ligar"
attack,ataccar; n. atacca
attain,"atinger (-ement), obtener"
attainments,aquisition mental
attaint,macular
attempt,"(on life) atentar (-ate); provar, penar"
attend,"(wait) atender; (be present) assister, esser present; (pay attention) atenter; (wait on) servir, cuidar"
attendant,servitor; acompaniator
attention,atention
attenuate,"atenuar, diluer, rarificar"
attest,atestar
attic,mansarde
attire,"vestiment, costume"
attitude,"atitude, position, posa, postura"
attorney,"avocate, mandatario; agente, jurist. ~ general: procurator"
attract,"atraer (-tion, -tiv)"
attribute,"n. qualitá, caracteristicum; v. atribuer"
attrition,"frottation, atrition"
attune,acordar
auburn,"rubi-aurin, ross"
auction,"auction (-ar, -ator)"
audacious,"audaci (-tá), temerari"
audible,"audibil (-itá), perceptibil"
audience,"(hearing) audientie, audition; (persons) auditorie, spectatores"
auditorium,auditoria
audit,conto-control (-ero)
auditor,"revisor, verificator de contos"
auger,(per)forator
augment,"augmentar (-ation), supleer, suplementar"
augury,augure
august,august; (adj.) majestic
aunt,tanta
aureola,aureol
auricle,"orel(ette), auricul"
auriferous,auriferi
aurora borealis|aurora|borealis,"aurora boreal, luce polari"
auscultate,auscultar
auspices,auspicies
auspicious,"de bon augure, oportun, favorabil"
austere,austeri (-tá)
austral,sudic
authentic,autentic (-itá)
author,"autor (-essa, -isar)"
authority,autoritá; (collect) autorité
auto-,"auto-crate, -graf, -mobile, -nomie"
autumn,autun (-al)
auxiliary,auxiliari
avail,valer. it will ~ nothing: it va esser inutil. to ~ oneself of the opportunity: profitar li ocasion
available,"disponibil, obtenibil; (person) accessibil; (ticket) valid"
avalanche,avalanche
avaricious,"avari, cupid (-itá)"
avenge,(re)venjar
avenue,"avenúe, allé"
aver,afirmar
average,medial valore; (marine insurance) havarie. on the ~: medialmen
averse,"aversi, desinclinat"
aversion,aversion
avert,"impedir, detornar, preventer"
aviary,aviarium
aviation,aviation
avid,avid (-itá)
avocation,"vocation, profession, ocupation, mestiere"
avoid,evitar
avouch,asserter
avow,"confesser, declarar"
await,atender
awake|awaken,a. vigil; v. avigilar (se)
award,"adjudicar; n. judicament, sententie; (prize) premie"
to be aware|aware,* saver; (conscious of) conscier. to become ~: percepter
away,"for, absent"
awe,"timore, veneration, reverentie"
awful,"terribil, horribil"
aweary,"lassi, fatigat"
awhile,poc momentes
awkward,"ínhabil, genant, rustic; embarassant, plump"
awl,alen
awning,"(canopy) marquise, covritura"
awry,"tordet, obliqui"
axe,hache
axiom,axioma (-tic)
axis,axe
axle,axe
aye,yes. for ~: por sempre
azimuth,azimute
azure,azur
babble,"babillar (-aci, -ada)"
babe|baby,"bebé, infante (-ie)"
babel,babel
baboon,paviane
bacchalaureate,baccalaureat
bacchanal,debochant
bachelor,celibo; (graduate) baccalaureo
bacillus,bacille
